snapshot,trainOrder,stop,arrivalTime,departureTime,OccupancyArrival,OccupancyDeparture,occupancyPlatformBeforeArrival,occupancyPlatform,peopleIn,FTB,peopleOut,stops,stops_output,stops_diff,peopleIn_output,peopleIn_diff,peopleIn_diff_abs,peopleIn_diff_perc,peopleIn_diff_perc_2,peopleOut_output,peopleOut_diff,peopleOut_diff_abs,peopleOut_diff_perc,peopleOut_diff_perc_2,FTB_output,FTB_diff,FTB_diff_abs,FTB_diff_perc,FTB_diff_perc_2
2019-12-02,11,LOS ANDES,2019-12-02T05:48:30.000Z,2019-12-02T05:48:51.000Z,213.0,356.0,171,187,145.0,42.0,2.0,True,True,False,158.1535,-13.153500000000008,13.153500000000008,9.07138,8.31692,2.6817,-0.6817000000000002,0.6817000000000002,34.085,25.42044,30.6265,11.3735,11.3735,27.07976,37.13614
2019-12-02,11,PAN DE AZUCAR,2019-12-02T05:50:39.000Z,2019-12-02T05:50:51.000Z,356.0,407.0,53,54,51.0,3.0,0.0,True,True,False,48.0,3.0,3.0,5.88235,6.25,0.7313,-0.7313,0.7313,100.0,100.0,0.0,3.0,3.0,100.0,100.0
2019-12-02,11,SAN MIGUELITO,2019-12-02T05:52:42.000Z,2019-12-02T05:53:03.000Z,407.0,490.0,228,229,165.0,64.0,82.0,True,True,False,154.1172,10.882800000000003,10.882800000000003,6.59564,7.06138,85.4414,-3.4414000000000016,3.4414000000000016,4.19683,4.02779,49.8227,14.177300000000002,14.177300000000002,22.15203,28.4555
2019-12-02,12,PAN DE AZUCAR,2019-12-02T05:53:24.000Z,2019-12-02T05:53:36.000Z,312.0,340.0,31,35,29.0,6.0,1.0,True,True,False,35.0,-6.0,6.0,20.68966,17.14286,0.997,0.0030000000000000027,0.0030000000000000027,0.3,0.3009,0.0,6.0,6.0,100.0,100.0
2019-12-02,12,LOS ANDES,2019-12-02T05:51:30.000Z,2019-12-02T05:51:39.000Z,192.0,312.0,151,160,121.0,39.0,1.0,True,True,False,127.4687,-6.468699999999998,6.468699999999998,5.34603,5.07474,1.2656,-0.26560000000000006,0.26560000000000006,26.56,20.98609,25.157899999999998,13.842100000000002,13.842100000000002,35.49256,55.02089
2019-12-02,12,SAN ISIDRO,2019-12-02T05:47:00.000Z,2019-12-02T05:49:00.000Z,0.0,192.0,125,247,192.0,55.0,0.0,True,True,False,202.54500000000002,-10.545000000000016,10.545000000000016,5.49219,5.20625,0.0,0.0,0.0,100.0,100.0,52.7081,2.2918999999999983,2.2918999999999983,4.16709,4.34829
2019-12-02,12,SAN MIGUELITO,2019-12-02T05:55:27.000Z,2019-12-02T05:55:42.000Z,340.0,381.0,156,179,116.0,63.0,75.0,True,True,False,136.1543,-20.154300000000006,20.154300000000006,17.3744,14.80254,79.3693,-4.3692999999999955,4.3692999999999955,5.82573,5.50503,32.6684,30.3316,30.3316,48.1454,92.84691
2019-12-02,13,SAN MIGUELITO,2019-12-02T05:58:03.000Z,2019-12-02T05:58:24.000Z,300.0,301.0,150,156,73.0,83.0,72.0,True,True,False,114.7983,-41.7983,41.7983,57.25795,36.41021,65.1333,6.8666999999999945,6.8666999999999945,9.53708,10.54253,10.8701,72.12989999999999,72.12989999999999,86.90349,663.56243
2019-12-02,13,LOS ANDES,2019-12-02T05:53:48.000Z,2019-12-02T05:54:06.000Z,175.0,282.0,130,137,108.0,29.0,1.0,True,True,False,104.0781,3.9218999999999937,3.9218999999999937,3.63139,3.76823,0.9965,0.0034999999999999476,0.0034999999999999476,0.35,0.35123,21.0797,7.920300000000001,7.920300000000001,27.31138,37.57312
2019-12-02,13,PAN DE AZUCAR,2019-12-02T05:55:45.000Z,2019-12-02T05:56:09.000Z,282.0,300.0,21,23,20.0,3.0,2.0,True,True,False,19.0,1.0,1.0,5.0,5.26316,0.9965,1.0034999999999998,1.0034999999999998,50.175,100.70246,0.0,3.0,3.0,100.0,100.0
